# dit bestand bevat de gemeten waarden van:,,,;;;;;;;;;;;;;;;;
# - smartplugs,,,;;;;;;;;;;;;;;;;
# - thermostatische kranen,,,;;;;;;;;;;;;;;;;
,,,;;;;;;;;;;;;;;;;
Login Name;Gateway Mac Address;Device-ID;Device;Date;Hour;Value;Unit;Cost (EUR);CO2 (kg);Type;Consumer / Producer;Main / Sub-counter;Type device;Room;Group-Ids;Groups,,,
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;0:00;0,0002;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;0:15;0,0001;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;0:30;0,0001;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;0:45;0,0001;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;1:00;0,0001;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;1:15;0,0001;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;1:30;0,0001;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;1:45;0,0001;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;2:00;0,0002;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;2:15;0,0001;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;2:30;0,0001;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;2:45;0,0001;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;3:00;0,0001;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;3:15;0,0001;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;3:30;0,0001;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;3:45;0,0002;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;4:00;0,0001;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;4:15;0,0001;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;4:30;0,0001;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
bla@hotmail.com;1,23E+11;5653a456;washing machine;21/01/2018;4:45;0,0001;kWh;0;0;electricity;Consumer;Sub-counter;WASHINGMACHINE;DefaultRoom;;
